Tarih,Ay,Saat,PTF,SMF,Poz_DF,Neg_DF,KGUP,URETIM,Dengesizlik,GOP_Geliri,Dengesizlik_Tutarı,Net_Gelir,Dengesizlik_Maliyeti,Birim_DM
2024-01-01,1,00:00,1299.98,560.0,543.1999999999999,1338.9794,3.44,14.0,10.56,4471.9312,5736.191999999999,10208.123199999998,7991.596800000003,570.8283428571431
2024-01-01,1,01:00,1299.98,1299.98,1260.9806,1338.9794,5.08,19.0,13.92,6603.8984,17552.849952,24156.748352000002,542.8716479999966,28.572191999999824
2024-01-01,1,02:00,1248.54,1248.54,1211.0837999999999,1285.9962,6.16,28.0,21.84,7691.0064,26450.070191999996,34141.076592,818.0434079999977,29.215835999999918
2024-01-01,1,03:00,1299.98,1250.0,1212.5,1338.9794,7.08,32.0,24.92,9203.858400000001,30215.500000000004,39419.358400000005,2180.001599999996,68.12504999999987
2024-01-01,1,04:00,1200.0,1150.0,1115.5,1236.0,8.89,24.0,15.11,10668.0,16855.204999999998,27523.204999999998,1276.795000000002,53.19979166666675
2024-01-01,1,05:00,1200.0,1200.0,1164.0,1236.0,10.8,27.0,16.2,12960.0,18856.8,31816.8,583.2000000000007,21.600000000000026
2024-01-01,1,06:00,1248.54,1248.54,1211.0837999999999,1285.9962,12.59,34.0,21.41,15719.1186,25929.304158,41648.422758,801.937242,23.586389470588234
2024-01-01,1,07:00,1299.99,1299.99,1260.9903,1338.9897,14.55,50.0,35.45,18914.8545,44702.106135,63616.960635,1382.539364999997,27.650787299999937
2024-01-01,1,08:00,1299.99,499.99,484.9903,1338.9897,16.4,49.0,32.6,21319.836,15810.683780000001,37130.51978,26568.99022,542.2242902040816
2024-01-01,1,09:00,1399.98,5.0,4.85,1441.9794000000002,17.65,46.0,28.35,24709.646999999997,137.4975,24847.1445,39551.93550000001,859.8246847826089
2024-01-01,1,10:00,1299.99,1.2,1.164,1338.9897,18.96,37.0,18.04,24647.810400000002,20.998559999999998,24668.808960000002,23430.821039999995,633.2654335135134
2024-01-01,1,11:00,1200.0,1.19,1.1542999999999999,1236.0,20.85,34.0,13.149999999999999,25020.0,15.179044999999997,25035.179045,15764.820955,463.6712045588235
2024-01-01,1,12:00,1000.0,1.88,1.8235999999999999,1030.0,23.72,33.0,9.280000000000001,23720.0,16.923008,23736.923008,9263.076991999998,280.69930278787876
2024-01-01,1,13:00,1199.99,500.0,485.0,1235.9897,27.6,35.0,7.399999999999999,33119.724,3588.999999999999,36708.724,5290.9259999999995,151.16931428571428
2024-01-01,1,14:00,1299.98,1299.98,1260.9806,1338.9794,30.63,50.0,19.37,39818.3874,24425.194222000002,64243.581622,755.4183780000021,15.108367560000042
2024-01-01,1,15:00,1299.98,1299.98,1260.9806,1338.9794,31.34,47.0,15.66,40741.3732,19746.956196000003,60488.329396,610.7306039999967,12.994268170212695
2024-01-01,1,16:00,1915.15,2400.0,1857.6955,2472.0,29.97,46.0,16.03,57397.0455,29778.858865000002,87175.904365,920.9956350000139,20.021644239130737
2024-01-01,1,17:00,2525.0,2525.0,2449.25,2600.75,28.63,47.0,18.37,72290.75,44992.7225,117283.4725,1391.5274999999965,29.60696808510631
2024-01-01,1,18:00,2601.44,2601.44,2523.3968,2679.4832,27.62,48.0,20.38,71851.7728,51426.826784,123278.59958400001,1590.5204159999848,33.135841999999684
2024-01-01,1,19:00,2200.01,2200.01,2134.0097,2266.0103000000004,27.12,45.0,17.88,59664.27120000001,38156.093435999996,97820.36463600001,1180.0853639999987,26.22411919999997
2024-01-01,1,20:00,1999.99,1861.0,1805.1699999999998,2059.9897,27.6,26.0,-1.6000000000000014,55199.724,-3295.983520000003,51903.74048,95.99951999999757,3.6922892307691373
2024-01-01,1,21:00,1615.0,700.0,679.0,1663.45,27.92,15.0,-12.920000000000002,45090.8,-21491.774000000005,23599.025999999998,625.974000000002,41.731600000000135
2024-01-01,1,22:00,1299.98,630.0,611.1,1338.9794,27.77,7.0,-20.77,36100.4446,-27810.602138,8289.842462000004,810.0175379999964,115.71679114285664
2024-01-01,1,23:00,913.64,100.0,97.0,941.0492,27.93,1.0,-26.93,25517.9652,-25342.454956,175.51024399999733,738.1297560000027,738.1297560000027
2024-01-02,1,00:00,1299.99,560.0,543.1999999999999,1338.9897,27.77,2.0,-25.77,36100.7223,-34505.764569,1594.9577310000022,1005.0222689999978,502.5111344999989
2024-01-02,1,01:00,1299.99,500.0,485.0,1338.9897,29.23,1.0,-28.23,37998.7077,-37799.679231,199.02846899999713,1100.9615310000029,1100.9615310000029
2024-01-02,1,02:00,1285.81,30.0,29.099999999999998,1324.3843,29.79,3.0,-26.79,38304.279899999994,-35480.255397,2824.0245029999933,1033.4054970000066,344.46849900000217
2024-01-02,1,03:00,1299.98,450.0,436.5,1338.9794,29.99,3.0,-26.99,38986.4002,-36139.054006,2847.346193999998,1052.5938060000021,350.86460200000073
2024-01-02,1,04:00,1285.82,560.0,543.1999999999999,1324.3946,29.15,6.0,-23.15,37481.653,-30659.73499,6821.918009999998,893.0019900000025,148.83366500000042
2024-01-02,1,05:00,1285.82,560.0,543.1999999999999,1324.3946,26.69,19.0,-7.690000000000001,34318.5358,-10184.594474000003,24133.941325999993,296.63867400000527,15.612561789473961
2024-01-02,1,06:00,1285.81,700.0,679.0,1324.3843,25.29,11.0,-14.29,32518.134899999997,-18925.451646999998,13592.683253,551.2267470000006,50.11152245454551
2024-01-02,1,07:00,1799.99,1559.99,1513.1903,1853.9897,26.16,11.0,-15.16,47087.7384,-28106.483852,18981.254548,818.6354519999986,74.4214047272726
2024-01-02,1,08:00,2649.0,1648.0,1598.56,2728.4700000000003,28.45,10.0,-18.45,75364.05,-50340.2715,25023.7785,1466.2214999999997,146.62214999999998
2024-01-02,1,09:00,2700.0,2200.0,2134.0,2781.0,32.2,5.0,-27.200000000000003,86940.00000000001,-75643.20000000001,11296.800000000003,2203.199999999997,440.6399999999994
2024-01-02,1,10:00,2398.0,2028.0,1967.1599999999999,2469.94,35.75,9.0,-26.75,85728.5,-66070.895,19657.604999999996,1924.395000000004,213.8216666666671
2024-01-02,1,11:00,2399.98,2399.98,2327.9806,2471.9794,39.35,28.0,-11.350000000000001,94439.213,-28056.966190000006,66382.24681,817.1931900000054,29.185471071428765
2024-01-02,1,12:00,1974.0,1974.0,1914.78,2033.22,43.18,38.0,-5.18,85237.31999999999,-10532.0796,74705.2404,306.75960000000487,8.072621052631707
2024-01-02,1,13:00,2049.99,2178.0,1988.4902999999997,2243.34,45.56,44.0,-1.5600000000000023,93397.5444,-3499.6104000000055,89897.934,301.62600000000384,6.855136363636451
2024-01-02,1,14:00,2248.0,2500.0,2180.56,2575.0,47.01,50.0,2.990000000000002,105678.48,6519.874400000004,112198.3544,201.64560000000347,4.03291200000007
2024-01-02,1,15:00,2300.0,2600.0,2231.0,2678.0,47.57,54.0,6.43,109411.0,14345.33,123756.33,443.66999999999825,8.21611111111108
2024-01-02,1,16:00,2525.0,2689.0,2449.25,2769.67,47.49,49.0,1.509999999999998,119912.25,3698.3674999999953,123610.6175,114.38250000000698,2.3343367346940203
2024-01-02,1,17:00,2700.0,2700.0,2619.0,2781.0,47.24,50.0,2.759999999999998,127548.0,7228.439999999995,134776.44,223.55999999999767,4.471199999999953
2024-01-02,1,18:00,2700.0,2600.0,2522.0,2781.0,47.07,49.0,1.9299999999999997,127089.0,4867.459999999999,131956.46,343.54000000000815,7.011020408163431
2024-01-02,1,19:00,2500.01,2102.01,2038.9497000000001,2575.0103000000004,46.92,49.0,2.0799999999999983,117300.46920000002,4241.015375999997,121541.48457600002,959.0054239999881,19.57153926530588
2024-01-02,1,20:00,2482.0,2083.11,2020.6167,2556.46,46.7,49.0,2.299999999999997,115909.40000000001,4647.418409999995,120556.81841,1061.1815899999929,21.656767142856996
2024-01-02,1,21:00,2481.99,1950.0,1891.5,2556.4496999999997,46.14,47.0,0.8599999999999994,114519.0186,1626.689999999999,116145.7086,507.82139999998617,10.804710638297578
2024-01-02,1,22:00,2298.01,1700.0,1649.0,2366.9503000000004,45.13,53.0,7.869999999999997,103709.19130000002,12977.629999999996,116686.82130000001,5107.708700000003,96.37186226415099
2024-01-02,1,23:00,2198.0,1698.0,1647.06,2263.94,44.15,50.0,5.850000000000001,97041.7,9635.301000000001,106677.001,3222.998999999996,64.45997999999992
2024-01-03,1,00:00,2325.0,2389.0,2255.25,2460.67,43.71,50.0,6.289999999999999,101625.75,14185.522499999997,115811.27249999999,438.72750000000815,8.774550000000163
2024-01-03,1,01:00,2248.0,2248.0,2180.56,2315.44,40.5,50.0,9.5,91044.0,20715.32,111759.32,640.679999999993,12.81359999999986
2024-01-03,1,02:00,2188.0,2188.0,2122.36,2253.64,36.84,47.0,10.159999999999997,80605.92000000001,21563.177599999995,102169.09760000001,666.9023999999918,14.189412765957272
2024-01-03,1,03:00,2188.0,2188.0,2122.36,2253.64,33.97,49.0,15.030000000000001,74326.36,31899.070800000005,106225.4308,986.5691999999981,20.13406530612241
2024-01-03,1,04:00,2098.0,2098.0,2035.06,2160.94,32.3,33.0,0.7000000000000028,67765.4,1424.5420000000058,69189.942,44.05800000000454,1.3350909090910468
2024-01-03,1,05:00,1449.98,700.0,679.0,1493.4794000000002,30.27,33.0,2.7300000000000004,43890.8946,1853.6700000000003,45744.5646,2104.775400000006,63.78107272727291
2024-01-03,1,06:00,1349.99,1100.0,1067.0,1390.4897,27.81,33.0,5.190000000000001,37543.2219,5537.730000000001,43080.9519,1468.7180999999982,44.50660909090904
2024-01-03,1,07:00,2110.66,1297.0,1258.09,2173.9798,26.09,27.0,0.9100000000000001,55067.119399999996,1144.8619,56211.9813,775.838699999993,28.734766666666406
2024-01-03,1,08:00,2649.0,2649.0,2569.5299999999997,2728.4700000000003,25.35,22.0,-3.3500000000000014,67152.15000000001,-9140.374500000005,58011.7755,266.2244999999966,12.101113636363483
2024-01-03,1,09:00,2690.02,2693.03,2609.3194,2773.8209,26.44,10.0,-16.44,71124.1288,-45601.615596,25522.513204000003,1377.6867959999981,137.7686795999998
2024-01-03,1,10:00,2379.99,2394.0,2308.5903,2465.82,28.96,22.0,-6.960000000000001,68924.5104,-17162.107200000002,51762.4032,597.3767999999982,27.153490909090827
2024-01-03,1,11:00,2288.0,2394.0,2219.36,2465.82,31.23,30.0,-1.2300000000000004,71454.24,-3032.9586000000013,68421.2814,218.71859999999288,7.2906199999997625
