Tarih,Ay,Saat,PTF,SMF,Poz_DF,Neg_DF,KGUP,URETIM,Dengesizlik,GOP_Geliri,Dengesizlik_Tutarı,Net_Gelir,Dengesizlik_Maliyeti,Birim_DM
2024-01-01,1,00:00,1299.98,560.0,543.1999999999999,1338.9794,0.8,0.0,-0.8,1039.9840000000002,-1071.18352,-31.199519999999893,31.199519999999893,0.0
2024-01-01,1,01:00,1299.98,1299.98,1260.9806,1338.9794,1.1,6.71,5.609999999999999,1429.978,7074.1011659999995,8504.079166,218.78663400000005,32.60605573770493
2024-01-01,1,02:00,1248.54,1248.54,1211.0837999999999,1285.9962,1.7,9.34,7.64,2122.518,9252.680231999999,11375.198231999999,286.16536799999994,30.638690364025692
2024-01-01,1,03:00,1299.98,1250.0,1212.5,1338.9794,2.4,12.87,10.469999999999999,3119.9519999999998,12694.874999999998,15814.826999999997,915.9156000000003,71.16671328671332
2024-01-01,1,04:00,1200.0,1150.0,1115.5,1236.0,2.8,9.22,6.420000000000001,3360.0,7161.510000000001,10521.510000000002,542.489999999998,58.83839479392602
2024-01-01,1,05:00,1200.0,1200.0,1164.0,1236.0,3.4,17.74,14.339999999999998,4080.0,16691.76,20771.76,516.239999999998,29.100338218714658
2024-01-01,1,06:00,1248.54,1248.54,1211.0837999999999,1285.9962,3.8,25.75,21.95,4744.451999999999,26583.289409999998,31327.741409999995,822.1635900000038,31.928683106796264
2024-01-01,1,07:00,1299.99,1299.99,1260.9903,1338.9897,4.5,22.16,17.66,5849.955,22269.088698,28119.043698,688.7347019999979,31.080085830324816
2024-01-01,1,08:00,1299.99,499.99,484.9903,1338.9897,6.1,19.73,13.63,7929.938999999999,6610.417789,14540.356789,11108.445911,563.0231075012671
2024-01-01,1,09:00,1399.98,5.0,4.85,1441.9794000000002,7.9,20.18,12.28,11059.842,59.55799999999999,11119.400000000001,17132.196399999997,848.9690981169473
2024-01-01,1,10:00,1299.99,1.2,1.164,1338.9897,9.8,21.03,11.23,12739.902000000002,13.07172,12752.973720000002,14585.81598,693.5718487874465
2024-01-01,1,11:00,1200.0,1.19,1.1542999999999999,1236.0,12.6,22.22,9.62,15120.0,11.104365999999997,15131.104366,11532.895634,519.0322067506751
2024-01-01,1,12:00,1000.0,1.88,1.8235999999999999,1030.0,15.8,15.39,-0.41000000000000014,15800.0,-422.3000000000001,15377.7,12.299999999999272,0.7992202729044361
2024-01-01,1,13:00,1199.99,500.0,485.0,1235.9897,17.9,8.76,-9.139999999999999,21479.821,-11296.945858,10182.875142,329.0372579999985,37.561330821917636
2024-01-01,1,14:00,1299.98,1299.98,1260.9806,1338.9794,18.2,7.54,-10.66,23659.636,-14273.520403999999,9386.115596,415.7336040000009,55.137082758620814
2024-01-01,1,15:00,1299.98,1299.98,1260.9806,1338.9794,17.4,15.48,-1.9199999999999982,22619.652,-2570.840447999997,20048.811552,74.87884800000029,4.837134883720949
2024-01-01,1,16:00,1915.15,2400.0,1857.6955,2472.0,15.7,21.37,5.670000000000002,30067.855,10533.133485000004,40600.988485,325.7670150000049,15.244127983154183
2024-01-01,1,17:00,2525.0,2525.0,2449.25,2600.75,14.3,10.35,-3.950000000000001,36107.5,-10272.962500000003,25834.5375,299.21250000000146,28.909420289855213
2024-01-01,1,18:00,2601.44,2601.44,2523.3968,2679.4832,14.5,15.65,1.1500000000000004,37720.88,2901.906320000001,40622.78632,89.74968000000081,5.7348038338658665
2024-01-01,1,19:00,2200.01,2200.01,2134.0097,2266.0103000000004,14.4,25.35,10.950000000000001,31680.144000000004,23367.406215000003,55047.55021500001,722.703284999996,28.509005325443624
