Tarih,Ay,Saat,PTF,SMF,Poz_DF,Neg_DF,KGUP,URETIM,Dengesizlik,GOP_Geliri,Dengesizlik_Tutarı,Net_Gelir,Dengesizlik_Maliyeti,Birim_DM
2024-01-01,1,00:00,1299.98,560.0,543.1999999999999,1338.9794,2.5,4.09,1.5899999999999999,3249.95,863.6879999999998,4113.638,1203.2802000000001,294.20053789731054
2024-01-01,1,01:00,1299.98,1299.98,1260.9806,1338.9794,2.5,2.1,-0.3999999999999999,3249.95,-535.5917599999999,2714.35824,15.59976000000006,7.428457142857171
2024-01-01,1,02:00,1248.54,1248.54,1211.0837999999999,1285.9962,2.5,2.22,-0.2799999999999998,3121.35,-360.07893599999977,2761.271064,10.48773600000004,4.724205405405423
2024-01-01,1,03:00,1299.98,1250.0,1212.5,1338.9794,2.5,2.42,-0.08000000000000007,3249.95,-107.11835200000009,3142.831648,3.119952000000012,1.2892363636363686
2024-01-01,1,04:00,1200.0,1150.0,1115.5,1236.0,2.5,2.26,-0.2400000000000002,3000.0,-296.64000000000027,2703.3599999999997,8.639999999999873,3.8230088495574663
2024-01-01,1,05:00,1200.0,1200.0,1164.0,1236.0,2.5,1.7,-0.8,3000.0,-988.8000000000001,2011.1999999999998,28.800000000000182,16.941176470588342
2024-01-01,1,06:00,1248.54,1248.54,1211.0837999999999,1285.9962,2.5,1.61,-0.8899999999999999,3121.35,-1144.5366179999999,1976.813382,33.33601799999997,20.705601242236003
2024-01-01,1,07:00,1299.99,1299.99,1260.9903,1338.9897,2.5,1.63,-0.8700000000000001,3249.975,-1164.9210390000003,2085.0539609999996,33.929739000000154,20.815790797546107
2024-01-01,1,08:00,1299.99,499.99,484.9903,1338.9897,2.5,2.4,-0.10000000000000009,3249.975,-133.89897000000013,3116.0760299999997,3.899970000000394,1.6249875000001643
2024-01-01,1,09:00,1399.98,5.0,4.85,1441.9794000000002,2.5,2.5,0.0,3499.95,0.0,3499.95,0.0,0.0
2024-01-01,1,10:00,1299.99,1.2,1.164,1338.9897,2.5,2.5,0.0,3249.975,0.0,3249.975,0.0,0.0
2024-01-01,1,11:00,1200.0,1.19,1.1542999999999999,1236.0,2.5,2.5,0.0,3000.0,0.0,3000.0,0.0,0.0
2024-01-01,1,12:00,1000.0,1.88,1.8235999999999999,1030.0,2.5,2.5,0.0,2500.0,0.0,2500.0,0.0,0.0
2024-01-01,1,13:00,1199.99,500.0,485.0,1235.9897,2.5,2.5,0.0,2999.975,0.0,2999.975,0.0,0.0
2024-01-01,1,14:00,1299.98,1299.98,1260.9806,1338.9794,2.5,2.5,0.0,3249.95,0.0,3249.95,0.0,0.0
2024-01-01,1,15:00,1299.98,1299.98,1260.9806,1338.9794,2.5,2.5,0.0,3249.95,0.0,3249.95,0.0,0.0
2024-01-01,1,16:00,1915.15,2400.0,1857.6955,2472.0,2.5,2.5,0.0,4787.875,0.0,4787.875,0.0,0.0
2024-01-01,1,17:00,2525.0,2525.0,2449.25,2600.75,2.5,2.43,-0.06999999999999984,6312.5,-182.05249999999958,6130.4475,5.302499999999782,2.1820987654320088
2024-01-01,1,18:00,2601.44,2601.44,2523.3968,2679.4832,2.5,2.51,0.009999999999999787,6503.6,25.23396799999946,6528.833968,0.7804319999995641,0.31092908366516503
