Tarih,Ay,Saat,PTF,SMF,Poz_DF,Neg_DF,KGUP,URETIM,Dengesizlik,GOP_Geliri,Dengesizlik_Tutarı,Net_Gelir,Dengesizlik_Maliyeti,Birim_DM
2024-01-01,1,00:00,1299.98,560.0,543.1999999999999,1338.9794,1.0,0.0,-1.0,1299.98,-1338.9794,-38.99939999999992,38.99939999999992,0.0
2024-01-01,1,01:00,1299.98,1299.98,1260.9806,1338.9794,1.0,2.05,1.0499999999999998,1299.98,1324.0296299999998,2624.0096299999996,40.94937000000027,19.975302439024524
2024-01-01,1,02:00,1248.54,1248.54,1211.0837999999999,1285.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,03:00,1299.98,1250.0,1212.5,1338.9794,1.0,0.0,-1.0,1299.98,-1338.9794,-38.99939999999992,38.99939999999992,0.0
2024-01-01,1,04:00,1200.0,1150.0,1115.5,1236.0,1.0,2.07,1.0699999999999998,1200.0,1193.5849999999998,2393.585,90.41499999999996,43.678743961352644
2024-01-01,1,05:00,1200.0,1200.0,1164.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,06:00,1248.54,1248.54,1211.0837999999999,1285.9962,1.0,0.0,-1.0,1248.54,-1285.9962,-37.45620000000008,37.45620000000008,0.0
2024-01-01,1,07:00,1299.99,1299.99,1260.9903,1338.9897,1.0,1.53,0.53,1299.99,668.324859,1968.314859,20.669840999999906,13.509699999999938
2024-01-01,1,08:00,1299.99,499.99,484.9903,1338.9897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,09:00,1399.98,5.0,4.85,1441.9794000000002,1.0,0.0,-1.0,1399.98,-1441.9794000000002,-41.99940000000015,41.99940000000015,0.0
2024-01-01,1,10:00,1299.99,1.2,1.164,1338.9897,1.0,1.04,0.040000000000000036,1299.99,0.04656000000000004,1300.03656,51.9530400000001,49.95484615384625
2024-01-01,1,11:00,1200.0,1.19,1.1542999999999999,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,12:00,1000.0,1.88,1.8235999999999999,1030.0,1.0,0.0,-1.0,1000.0,-1030.0,-30.0,30.0,0.0
2024-01-01,1,13:00,1199.99,500.0,485.0,1235.9897,1.0,1.04,0.040000000000000036,1199.99,19.400000000000016,1219.39,28.59960000000001,27.499615384615392
2024-01-01,1,14:00,1299.98,1299.98,1260.9806,1338.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,15:00,1299.98,1299.98,1260.9806,1338.9794,1.0,1.02,0.020000000000000018,1299.98,25.219612000000023,1325.1996120000001,0.779988000000003,0.7646941176470617
2024-01-01,1,16:00,1915.15,2400.0,1857.6955,2472.0,1.0,0.53,-0.47,1915.15,-1161.84,753.3100000000002,261.7194999999999,493.8103773584904
2024-01-01,1,17:00,2525.0,2525.0,2449.25,2600.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,18:00,2601.44,2601.44,2523.3968,2679.4832,1.0,0.0,-1.0,2601.44,-2679.4832,-78.04320000000007,78.04320000000007,0.0
2024-01-01,1,19:00,2200.01,2200.01,2134.0097,2266.0103000000004,1.0,1.04,0.040000000000000036,2200.01,85.36038800000007,2285.3703880000003,2.6400119999998424,2.538473076922925
2024-01-01,1,20:00,1999.99,1861.0,1805.1699999999998,2059.9897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1,21:00,1615.0,700.0,679.0,1663.45,1.0,1.04,0.040000000000000036,1615.0,27.160000000000025,1642.16,37.440000000000055,36.00000000000005
2024-01-01,1,22:00,1299.98,630.0,611.1,1338.9794,1.0,1.03,0.030000000000000027,1299.98,18.333000000000016,1318.313,20.66639999999984,20.06446601941732
2024-01-01,1,23:00,913.64,100.0,97.0,941.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,00:00,1299.99,560.0,543.1999999999999,1338.9897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,01:00,1299.99,500.0,485.0,1338.9897,1.5,1.53,0.030000000000000027,1949.9850000000001,14.550000000000013,1964.535,24.449699999999893,15.980196078431302
2024-01-02,1,02:00,1285.81,30.0,29.099999999999998,1324.3843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,03:00,1299.98,450.0,436.5,1338.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,04:00,1285.82,560.0,543.1999999999999,1324.3946,1.5,1.55,0.050000000000000044,1928.73,27.16000000000002,1955.89,37.13099999999986,23.95548387096765
2024-01-02,1,05:00,1285.82,560.0,543.1999999999999,1324.3946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,06:00,1285.81,700.0,679.0,1324.3843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,07:00,1799.99,1559.99,1513.1903,1853.9897,1.5,1.56,0.06000000000000005,2699.985,90.79141800000008,2790.7764180000004,17.2079819999999,11.03075769230763
2024-01-02,1,08:00,2649.0,1648.0,1598.56,2728.4700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,09:00,2700.0,2200.0,2134.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,10:00,2398.0,2028.0,1967.1599999999999,2469.94,1.5,1.53,0.030000000000000027,3597.0,59.01480000000005,3656.0148,12.925200000000132,8.447843137254988
2024-01-02,1,11:00,2399.98,2399.98,2327.9806,2471.9794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,12:00,1974.0,1974.0,1914.78,2033.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,13:00,2049.99,2178.0,1988.4902999999997,2243.34,1.5,1.55,0.050000000000000044,3074.9849999999997,99.42451500000007,3174.409515,3.0749849999997423,1.9838612903224144
2024-01-02,1,14:00,2248.0,2500.0,2180.56,2575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,15:00,2300.0,2600.0,2231.0,2678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,16:00,2525.0,2689.0,2449.25,2769.67,1.5,1.56,0.06000000000000005,3787.5,146.95500000000013,3934.455,4.545000000000073,2.913461538461585
2024-01-02,1,17:00,2700.0,2700.0,2619.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,18:00,2700.0,2600.0,2522.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,19:00,2500.01,2102.01,2038.9497000000001,2575.0103000000004,1.5,1.56,0.06000000000000005,3750.0150000000003,122.33698200000012,3872.3519820000006,27.663618000000042,17.73308846153849
2024-01-02,1,20:00,2482.0,2083.11,2020.6167,2556.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,21:00,2481.99,1950.0,1891.5,2556.4496999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,1,22:00,2298.01,1700.0,1649.0,2366.9503000000004,1.5,1.57,0.07000000000000006,3447.0150000000003,115.4300000000001,3562.4450000000006,45.43069999999989,28.936751592356615
2024-01-02,1,23:00,2198.0,1698.0,1647.06,2263.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,00:00,2325.0,2389.0,2255.25,2460.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,01:00,2248.0,2248.0,2180.56,2315.44,1.5,1.54,0.040000000000000036,3372.0,87.22240000000008,3459.2224,2.697599999999966,1.7516883116882895
2024-01-03,1,02:00,2188.0,2188.0,2122.36,2253.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,03:00,2188.0,2188.0,2122.36,2253.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,04:00,2098.0,2098.0,2035.06,2160.94,1.5,1.36,-0.1399999999999999,3147.0,-302.5315999999998,2844.4684,8.811599999999999,6.479117647058822
2024-01-03,1,05:00,1449.98,700.0,679.0,1493.4794000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,06:00,1349.99,1100.0,1067.0,1390.4897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,07:00,2110.66,1297.0,1258.09,2173.9798,1.5,1.05,-0.44999999999999996,3165.99,-978.2909099999999,2187.69909,28.493909999999687,27.137057142856843
2024-01-03,1,08:00,2649.0,2649.0,2569.5299999999997,2728.4700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,09:00,2690.02,2693.03,2609.3194,2773.8209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,10:00,2379.99,2394.0,2308.5903,2465.82,1.5,1.51,0.010000000000000009,3569.9849999999997,23.08590300000002,3593.070903,0.7139969999998357,0.47284569536412957
2024-01-03,1,11:00,2288.0,2394.0,2219.36,2465.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,12:00,1349.99,1649.99,1309.4903,1699.4897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,13:00,1449.99,1949.99,1406.4903,2008.4897,1.5,1.53,0.030000000000000027,2174.985,42.19470900000004,2217.179709,1.3049909999999727,0.8529352941176293
2024-01-03,1,14:00,2146.78,2394.0,2082.3766,2465.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,15:00,2288.01,2394.0,2219.3697,2465.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,16:00,2380.0,1912.0,1854.6399999999999,2451.4,1.5,1.25,-0.25,3570.0,-612.85,2957.15,17.84999999999991,14.279999999999927
2024-01-03,1,17:00,2600.0,2600.0,2522.0,2678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,18:00,2594.0,2689.0,2516.18,2769.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,19:00,2299.98,2689.0,2230.9806,2769.67,1.5,1.05,-0.44999999999999996,3449.9700000000003,-1246.3515,2203.6185000000005,211.36049999999977,201.29571428571407
2024-01-03,1,20:00,1968.0,2650.0,1908.96,2729.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,21:00,2288.01,2644.0,2219.3697,2723.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,1,22:00,2185.01,1551.0,1504.47,2250.5603,1.5,1.03,-0.47,3277.5150000000003,-1057.763341,2219.7516590000005,30.808640999999625,29.911301941747208
2024-01-03,1,23:00,1998.0,700.0,679.0,2057.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,00:00,2199.99,1078.0,1045.66,2265.9896999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,01:00,1608.48,1608.48,1560.2256,1656.7344,1.2,1.04,-0.15999999999999992,1930.176,-265.07750399999986,1665.098496,7.720704000000069,7.423753846153912
2024-01-04,1,02:00,1248.99,1248.99,1211.5203,1286.4597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,03:00,1184.35,1184.35,1148.8194999999998,1219.8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,04:00,1248.98,1248.98,1211.5106,1286.4494,1.2,0.0,-1.2,1498.776,-1543.73928,-44.96327999999994,44.96327999999994,0.0
2024-01-04,1,05:00,1449.99,1449.99,1406.4903,1493.4897,0.0,1.57,1.57,0.0,2208.189771,2208.189771,68.29452900000024,43.49970000000015
2024-01-04,1,06:00,2240.0,2290.0,2172.7999999999997,2358.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,07:00,2148.0,2148.0,2083.56,2212.44,1.2,0.0,-1.2,2577.6,-2654.928,-77.32799999999997,77.32799999999997,0.0
2024-01-04,1,08:00,2600.0,2693.01,2522.0,2773.8003000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,09:00,2689.01,2694.0,2608.3397,2774.82,0.0,1.54,1.54,0.0,4016.843138,4016.843138,124.23226200000045,80.67030000000028
2024-01-04,1,10:00,2599.99,2693.05,2521.9903,2773.8415000000005,1.2,0.0,-1.2,3119.988,-3328.6098000000006,-208.6218000000008,208.6218000000008,0.0
2024-01-04,1,11:00,2626.26,2694.0,2547.4722,2774.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,12:00,2249.0,2650.0,2181.5299999999997,2729.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,13:00,2150.01,2649.0,2085.5097,2728.4700000000003,1.2,1.55,0.3500000000000001,2580.012,729.9283950000003,3309.9403950000005,22.575104999999894,14.564583870967674
2024-01-04,1,14:00,1895.0,2599.99,1838.1499999999999,2677.9896999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,15:00,2148.01,2600.0,2083.5697,2678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,16:00,2348.01,2649.0,2277.5697,2728.4700000000003,1.2,0.0,-1.2,2817.612,-3274.164,-456.55200000000013,456.55200000000013,0.0
2024-01-04,1,17:00,2613.64,2678.0,2535.2308,2758.34,0.0,1.55,1.55,0.0,3929.60774,3929.60774,121.5342599999999,78.40919999999994
2024-01-04,1,18:00,2521.9,2598.0,2446.243,2675.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,19:00,2208.01,2208.01,2141.7697000000003,2274.2503,1.2,0.0,-1.2,2649.612,-2729.10036,-79.48835999999983,79.48835999999983,0.0
2024-01-04,1,20:00,2348.0,2348.0,2277.56,2418.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,1,21:00,2360.0,2360.0,2289.2,2430.8,0.0,1.55,1.55,0.0,3548.2599999999998,3548.2599999999998,109.74000000000024,70.80000000000015
2024-01-04,1,22:00,2015.0,2015.0,1954.55,2075.4500000000003,1.2,0.0,-1.2,2418.0,-2490.5400000000004,-72.54000000000042,72.54000000000042,0.0
2024-01-04,1,23:00,1349.99,1349.99,1309.4903,1390.4897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,00:00,1349.99,849.99,824.4902999999999,1390.4897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,01:00,1694.17,800.0,776.0,1744.9951,1.5,1.54,0.040000000000000036,2541.255,31.040000000000028,2572.295,36.72679999999991,23.848571428571372
2024-01-05,1,02:00,1800.01,700.0,679.0,1854.0103000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,03:00,1999.99,700.0,679.0,2059.9897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,04:00,2250.01,700.0,679.0,2317.5103000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,05:00,2295.0,700.0,679.0,2363.85,1.5,1.55,0.050000000000000044,3442.5,33.95000000000003,3476.45,80.80000000000018,52.12903225806463
2024-01-05,1,06:00,2325.0,1411.0,1368.67,2394.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,07:00,2288.01,1111.0,1077.67,2356.6503000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,08:00,2584.01,1888.0,1831.36,2661.5303000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,09:00,2689.0,2693.01,2608.33,2773.8003000000003,1.5,1.55,0.050000000000000044,4033.5,130.4165000000001,4163.9165,4.033499999999549,2.602258064515838
2024-01-05,1,10:00,2469.21,1851.0,1795.47,2543.2863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,11:00,2549.0,2549.0,2472.5299999999997,2625.4700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,12:00,2124.0,1651.0,1601.47,2187.7200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,13:00,2015.0,560.0,543.1999999999999,2075.4500000000003,1.5,1.2,-0.30000000000000004,3022.5,-622.6350000000002,2399.865,18.13500000000022,15.112500000000182
2024-01-05,1,14:00,2448.0,1200.0,1164.0,2521.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,15:00,2399.99,1111.0,1077.67,2471.9896999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,1,16:00,2625.0,1306.0,1266.82,2703.75,0.0,0.56,0.56,0.0,709.4192,709.4192,760.5808000000002,1358.1800000000003
2024-01-05,1,17:00,2700.0,1900.0,1843.0,2781.0,1.5,1.55,0.050000000000000044,4050.0,92.15000000000008,4142.15,42.850000000000364,27.645161290322815
2024-01-05,1,18:00,2700.0,2100.0,2037.0,2781.0,0.0,1.43,1.43,0.0,2912.91,2912.91,948.0900000000001,663.0000000000001
2024-01-05,1,19:00,2689.0,2100.0,2037.0,2769.67,0.0,1.79,1.79,0.0,3646.23,3646.23,1167.0800000000004,652.0000000000002
2024-01-05,1,20:00,2649.0,2100.0,2037.0,2728.4700000000003,0.0,1.84,1.84,0.0,3748.0800000000004,3748.0800000000004,1126.0799999999995,611.9999999999997
2024-01-05,1,21:00,2452.0,1851.0,1795.47,2525.56,1.5,2.56,1.06,3678.0,1903.1982,5581.1982,695.9218000000001,271.84445312500003
2024-01-05,1,22:00,2294.01,1794.01,1740.1897,2362.8303,0.0,2.54,2.54,0.0,4420.081838,4420.081838,1406.7035620000006,553.8203000000002
2024-01-05,1,23:00,2288.01,1851.0,1795.47,2356.6503000000002,0.0,2.03,2.03,0.0,3644.8041,3644.8041,999.8561999999997,492.5399999999999
2024-01-06,1,00:00,2295.0,1751.0,1698.47,2363.85,1.5,1.56,0.06000000000000005,3442.5,101.9082000000001,3544.4082000000003,35.79179999999997,22.943461538461516
